Page Number,Comment_ID,Comment_Text,Star_Count
6,10,Çok güzel aşırı beğendim paketleme çok özenliydi kat kat sarmişlar alın aldırın mukemmellKullanıcı bu ürünü Hepsiburada satıcısından aldı.RenkBej,5
Page Number,Comment_ID,Comment_Text,Star_Count
7,1,Renkler fotodan daha solukk ve tabağın biri pürüzlüKullanıcı bu ürünü stokburada satıcısından aldı.RenkBej,5
7,2,"Çok kaliteli , karaca farkıKullanıcı bu ürünü Hepsiburada satıcısından aldı.RenkBej",5
7,3,Çok güzeller kaliteliKullanıcı bu ürünü Hepsiburada satıcısından aldı.RenkBej,4
7,4,Aşırı güzel 🥹🥹🥹Kullanıcı bu ürünü Hepsiburada satıcısından aldı.RenkBej,5
7,5,Çokk güzel geldi☺️paketlemeside cok iyiydi teşekkürler...Kullanıcı bu ürünü Hepsiburada satıcısından aldı.RenkBej,5
7,6,Paketlemesi çok iyiydi sorunsuz geldiKullanıcı bu ürünü Karaca satıcısından aldı.RenkBej,5
7,7,"Çok kısa sürede,hasarsız sorunsuz geldi. Kullanımı rahat bir ürünKullanıcı bu ürünü Karaca satıcısından aldı.RenkBej",5
7,8,Arkadaşıma hediye aldım2 günde eline ulaştı çok kaliteli ve güzelKullanıcı bu ürünü Karaca satıcısından aldı.RenkBej,5
7,9,"Arkadaşıma hediye alıp çok beğenmiştim, kendime de aldımKullanıcı bu ürünü Karaca satıcısından aldı.RenkBej",5
7,10,asırıııı güzel bayıldımKullanıcı bu ürünü Hepsiburada satıcısından aldı.RenkBej,5
Page Number,Comment_ID,Comment_Text,Star_Count
8,1,Çok teşekkür ederim sorunsuz geldi çok beğendimKullanıcı bu ürünü Hepsiburada satıcısından aldı.RenkBej,5
8,2,Kargolama çok güzeldi kısa zamanda geldi fakat bir tabağı yamuk gönderim yapılırken bakılmıyor mu anlamıyorum bir tabak için de iade ile mi uğraşalımKullanıcı bu ürünü Karaca satıcısından aldı.RenkBej,5
8,3,"Fincanlar cok guzel 3.ye aliyoruz.. Fincanlari birakalim da biraz hepsi jet ovelim yaa aksam siparisi verdik sabah kapidaydi bir suru urun hem de, jet gibiler jet, diger kargolar sitenin kapisindan daire kapisina bile 2 saatte geliyorlar unutuyorum geldikleri adamlar burda bile hizli ya helal olsun alkisssssss 😄Kullanıcı bu ürünü Hepsiburada satıcısından aldı.RenkBej",3
8,4,"Ürün tasarım olarak harika çok beğendik, kargolama ve paketleme içinde ayrıca teşekkür ederiz; yalnız ikinci fotoda göreceğiniz gibi üretim hatalı fincanlar mevcut, Karaca markasına yakışmıyor, tekstilde çok iyiler ama mutfakta 3 yıldız..Kullanıcı bu ürünü Karaca satıcısından aldı.RenkBej",5
8,5,Fincanlar çok güzel paketleme gayet iKullanıcı bu ürünü Hepsiburada satıcısından aldı.RenkBej,3
8,6,Ürün guzel paketlenmiş kırık gelmedi ama fincanlarda eksik vardı flamingo yerine iki tane zürafa gönderilmiş  geri iade edemiyorum kupon kullandığım için lütfen daha dikkatli olunuz.Kullanıcı bu ürünü Hepsiburada satıcısından aldı.RenkBej,4
8,7,Cok begendimm tavsiye ederim sağlam geldiKullanıcı bu ürünü Karaca satıcısından aldı.RenkBej,5
Page Number,Comment_ID,Comment_Text,Star_Count
9,1,Benden gören herkes almaya başladı. Çok güzelKullanıcı bu ürünü Karaca satıcısından aldı.RenkBej,5
9,2,Fincanlar çok güzel paketleme gayet iKullanıcı bu ürünü Hepsiburada satıcısından aldı.RenkBej,4
9,3,"Harika bir fincan takımı ,6 ‘lı fincan takımının tek desen ya da sade olmasını sevmediğim için bunu tercih ettim iyi ki etmişim ,zamanla insan tek desenden sıkılıyor :(  mutlaka alın derim ayrıca porselen olması da ayrı bir avantaj sağlıyor çok çok memnun kaldım gönül rahatlığıyla sipariş verebilirsinizKullanıcı bu ürünü Karaca satıcısından aldı.RenkBej",5
9,4,Ürünü mağaza fiyatiyla karşılaştırarak aldım.370 gibi bir fiyata aldim magazada 500 tl idi.Sorunsuz bir sekilde sağlam gayet güzel gördügüm gibi geldi.Alacak olanlara tavsiyemdir bence hic süphesiz aldın 👍Kullanıcı bu ürünü Hepsiburada satıcısından aldı.RenkBej,5
9,5,Çok şık kibar bir takım kalitesine bayıldım fakat satıcı özensiz davranmış geyik olandan 2 tane yollamış zürafa yok ama ben kullanmaya başladım bile sadece zürafa olandan gönderim yapacaklarını umuyorum çok geç elime ulaştı kırık yoktu sağlam paketlenmistiKullanıcı bu ürünü Hepsiburada satıcısından aldı.RenkBej,5
9,6,Çok tereddüt ederek aldım defolu olur diye pürüzsüz geldi güzel paketlenmiş kendinden jilatinli olarak çok beğendim çok teşekkür ederim 🙏🏻Kullanıcı bu ürünü Hepsiburada satıcısından aldı.RenkBej,5
9,7,Beğenerek aldım çok güzelKullanıcı bu ürünü Karaca satıcısından aldı.RenkBej,5
9,8,"Çok güzel, porseleni ince eminim kahve içimi de çok zevkli olacaktır. Çok beğendim teşekkürlerKullanıcı bu ürünü Hepsiburada satıcısından, Eylem Aydın adlı kullanıcının listesinden aldı.RenkBej",5
9,9,"Çok güzeller kargolama süresi gayet iyiydi kendi kutusu dışında ikinci kutuya konulmuştuKullanıcı bu ürünü Hepsiburada satıcısından, Mehmet Özkal adlı kullanıcının listesinden aldı.RenkBej",5
Page Number,Comment_ID,Comment_Text,Star_Count
10,1,Ürün elime kısa sürede ulaştı çok beğendim almak isteyenler hiç düşünmesin bence çok şık ve hoşKullanıcı bu ürünü Hepsiburada satıcısından aldı.RenkBej,5
10,2,Çok güzel bir seri. Hepsini aldım. Sadece kahve fincanları çay ve yemek takımlarına kıyasla daha ince.Kullanıcı bu ürünü Hepsiburada satıcısından aldı.RenkBej,5
10,3,Dünyanın en güzel fincanı aşık oldum şahaneeeee fiyatı bedava bence bu zamandaKullanıcı bu ürünü Karaca satıcısından aldı.RenkBej,5
10,4,Çok kaliteli efsane bir fincanKullanıcı bu ürünü Karaca satıcısından aldı.RenkBej,5
10,5,Göründüğü gibi çok güzel paketleme de çok sağlamdı sorunsuz teslim edildiKullanıcı bu ürünü Karaca satıcısından aldı.RenkBej,5
10,6,"Ürüne gelmeden evvel hepsiburada deneyimimi paylaşmak isterim. Satıcısı hepsiburada olarak ürünü sipariş ettim. Ürünün orijinal içeriğinde 6 farklı motif olması gerekirken bende gene 6 fincan takımı fakat 5 farklı motif vardı. Fil şekilli fincandan 2 adet vardı. Müşteri hizmetleri ile görüştüm fakat ürünün stoklarında bittiğini ve iade dışında yardımcı olamayacaklarını söylediler. Ürünü 1 hafta beklettim ve tekrardan stoğa girdiğini gördüm. Böylece değişim talebiyle iade açtım. Prosedür hemen işlendi ve 2 günde yenisi elimde oldu, değişim sağlandı. Hepsiburada böylesi aksiyonlarını çok hızlı ve müşteri memnuniyeti odaklı aldığı için güzel. Ürün ise fotoğraflarında görüldüğü üzere tatlı ve naif. Hediye olarak düşünülürse çok hoş olur kanısındayım.Kullanıcı bu ürünü Hepsiburada satıcısından aldı.RenkBej",4
10,7,"Göründüğü gibi geldi. Çok şık, hızlı teslimat yapıldı kargom sorunsuz elime ulaştı 🤍Kullanıcı bu ürünü Karaca satıcısından aldı.RenkBej",5
10,8,"Kız kardeşimelin çeyizi için aldım, çok güzel ve çok şık kardeşim de bayıldıKullanıcı bu ürünü Karaca satıcısından aldı.RenkBej",5
10,9,Güzel bir ürün desenlerin baskısı da kaliteli kolay sökülmez gibi gözüküyor.Kullanıcı bu ürünü Hepsiburada satıcısından aldı.RenkBej,5
Page Number,Comment_ID,Comment_Text,Star_Count
11,1,Bu takımı uzun zamandır almak istiyordum indirim zamanı kaçırmadan almak çok iyi denk çok tatlılarKullanıcı bu ürünü Karaca satıcısından aldı.RenkBej,5
11,2,Çok beğendim çok güzeller sağlam bir şekilde elime ulaştı teşekkürlerKullanıcı bu ürünü Hepsiburada satıcısından aldı.RenkBej,5
11,3,Tek kelime ile bayıldım harika bir ürün arkadaşıma hediye olarak aldım ayrı ayrı olarakta kullanılabilir çok güzellerKullanıcı bu ürünü Hepsiburada satıcısından aldı.RenkBej,5
11,4,Çok tatlış bakıp bakıp mutlu olmalık bir fincan takımı iyi ki almışım teslimat sağlam ve hızlı idi teşekkürler hepsi burada ve Karaca ❤️Kullanıcı bu ürünü Hepsiburada satıcısından aldı.RenkBej,5
11,5,Öylesine birine hediye ederim diye aldım ama çok güzel çıktı 🤗 galiba çeyizime kaldırıcam. Paketleme güzeldi kırılmadan geldiKullanıcı bu ürünü Hepsiburada satıcısından aldı.RenkBej,5
11,6,Kargo kutusu yırtık geldi zebra olan fincanımın boyası silinmiş flamingo tabağında da hata var dikkat ederek gönderseniz daha çok sevinirdimKullanıcı bu ürünü Karaca satıcısından aldı.RenkBej,3
11,7,"desenleri güzel ama bazılarının ağız kısmındaki şerit yamuk çekilmiş. fabrikada kalite kontrol uyuyor, idare eder.Kullanıcı bu ürünü Hepsiburada satıcısından, Banu Yegen Derman adlı kullanıcının listesinden aldı.RenkBej",4
11,8,"Göründüğü gibi resimde, güzel ben çok beğendimKullanıcı bu ürünü Hepsiburada satıcısından, Öznur Ekim adlı kullanıcının listesinden aldı.RenkBej",5
11,9,Karacanin urunlerine zaafım oluştu diyebilirim. Çok güzel. Fincan küçük ama görünüş yeter. Kargo aşırı iyi paket yapılmıştı. Tşk ederim 💕Kullanıcı bu ürünü Karaca satıcısından aldı.RenkBej,5
11,10,Harika bir fincan takımı herkese tavsiye ederim 😍Kullanıcı bu ürünü Karaca satıcısından aldı.RenkBej,5
Page Number,Comment_ID,Comment_Text,Star_Count
12,1,Çok beğendim çokta hızlı bir şekilde elime ulaştı teşekkürlerKullanıcı bu ürünü Karaca satıcısından aldı.RenkBej,5
12,2,Bekledigimden daha guzel cok begendim saglam kargo ❣️🥰Kullanıcı bu ürünü Hepsiburada satıcısından aldı.RenkBej,5
12,3,Bayıldım çok güzel ve hızlı geldiKullanıcı bu ürünü Hepsiburada satıcısından aldı.RenkBej,5
12,4,Gece sipariş verdim sabah elimdeydi şahane 😻Kullanıcı bu ürünü Hepsiburada satıcısından aldı.RenkBej,5
12,5,Efsane güzel bayıldımKullanıcı bu ürünü Hepsiburada satıcısından aldı.RenkBej,5
12,6,İki fincan aynı geldi. Hızlı kargo. Değişim ile uğraşamayacagim. Bilginiz olsunKullanıcı bu ürünü Hepsiburada satıcısından aldı.RenkBej,4
12,7,Çok beğendim. Fotoğraftaki gibi. Paketlemesi güzeldiKullanıcı bu ürünü Karaca satıcısından aldı.RenkBej,5
12,8,Bayıldımmm kırık vs olmadan geldi tüm takımını aldımKullanıcı bu ürünü Hepsiburada satıcısından aldı.RenkBej,5
12,9,Gayet sağlam şekilde elimize ulaştı biz çok beğendik 💜Kullanıcı bu ürünü Hepsiburada satıcısından aldı.RenkBej,5
12,10,Çok güzellKullanıcı bu ürünü RARE STORE satıcısından aldı.RenkBej,5
Page Number,Comment_ID,Comment_Text,Star_Count
13,1,Çok beğendim çokta hızlı bir şekilde elime ulaştı teşekkürlerKullanıcı bu ürünü Karaca satıcısından aldı.RenkBej,5
13,2,Çok güzellKullanıcı bu ürünü RARE STORE satıcısından aldı.RenkBej,5
13,3,Çok iyi paketlenmiş sağlam geldi tavsiye ederimKullanıcı bu ürünü Karaca satıcısından aldı.RenkBej,5
13,4,EŞİME HEDİYE ALMIŞTIM ÇOK BEĞENDİ KALİTE BAŞKA PAKATLEME 10 NUMARAKullanıcı bu ürünü Karaca satıcısından aldı.RenkBej,5
13,5,BayildimmmKullanıcı bu ürünü Hepsiburada satıcısından aldı.RenkBej,5
13,6,Çok hızlı geldi teşekkür ederim beğendikKullanıcı bu ürünü Karaca satıcısından aldı.RenkBej,5
Page Number,Comment_ID,Comment_Text,Star_Count
14,1,Harika paketleme ile geldi. Ürün çok güzelKullanıcı bu ürünü Hepsiburada satıcısından aldı.RenkBej,5
14,2,"Paketleme , kalite gayet güzelKullanıcı bu ürünü Hepsiburada satıcısından aldı.RenkBej",5
14,3,Tam beklediğim gibi günlük kullanım için harika👍Kullanıcı bu ürünü Hepsiburada satıcısından aldı.RenkBej,5
14,4,Çok hızlı geldi teşekkür ederim beğendikKullanıcı bu ürünü Karaca satıcısından aldı.RenkBej,5
14,5,BayildimmmKullanıcı bu ürünü Hepsiburada satıcısından aldı.RenkBej,5
14,6,Bayıldım 3 tane aldım hediyede aldiKullanıcı bu ürünü Karaca satıcısından aldı.RenkBej,5
14,7,Çok şekerler bayıldım..Kullanıcı bu ürünü Karaca satıcısından aldı.RenkBej,5
14,8,EŞİME HEDİYE ALMIŞTIM ÇOK BEĞENDİ KALİTE BAŞKA PAKATLEME 10 NUMARAKullanıcı bu ürünü Karaca satıcısından aldı.RenkBej,5
14,9,Muhtesem tskkrlerKullanıcı bu ürünü Hepsiburada satıcısından aldı.RenkBej,5
14,10,HarikaaaaaKullanıcı bu ürünü Hepsiburada satıcısından aldı.RenkBej,5
Page Number,Comment_ID,Comment_Text,Star_Count
15,1,"Hasarsız,tam göründüğü gibi geldi.Kullanıcı bu ürünü Karaca satıcısından aldı.RenkBej",5
15,2,Çok güzelll çok beğendimKullanıcı bu ürünü Hepsiburada satıcısından aldı.RenkBej,5
15,3,HarikaaaaaKullanıcı bu ürünü Hepsiburada satıcısından aldı.RenkBej,5
15,4,Çok çok güzeell keşke daha uygun olsa ❤️Kullanıcı bu ürünü Karaca satıcısından aldı.RenkBej,5
15,5,Sorunsuz geldi güzel ürünKullanıcı bu ürünü Karaca satıcısından aldı.RenkBej,5
15,6,Kalitesi çok güzelKullanıcı bu ürünü Hepsiburada satıcısından aldı.RenkBej,5
15,7,Çok teşekkür ederim hizmetinizden dolayı çok beğendimKullanıcı bu ürünü Hepsiburada satıcısından aldı.RenkBej,5
15,8,Çok güzel  çok hızlı ve güzel paketli geldiKullanıcı bu ürünü Karaca satıcısından aldı.RenkBej,5
15,9,Fiyat performans ürünü harikaKullanıcı bu ürünü Hepsiburada satıcısından aldı.RenkBej,5
15,10,Çok güzel severek kullanıyorumKullanıcı bu ürünü Karaca satıcısından aldı.RenkBej,5
Page Number,Comment_ID,Comment_Text,Star_Count
16,1,Çok güzel severek kullanıyorumKullanıcı bu ürünü Karaca satıcısından aldı.RenkBej,5
16,2,Ürün güzel paketlenmiş ve sorunsuz geldiKullanıcı bu ürünü Hepsiburada satıcısından aldı.RenkBej,5
16,3,MükemmellllKullanıcı bu ürünü Hepsiburada satıcısından aldı.RenkBej,5
16,4,Görseli güzel bir kahve fincanı fiyat performansKullanıcı bu ürünü Karaca satıcısından aldı.RenkBej,5
16,5,Harika ürün pakylemede gayet guzelKullanıcı bu ürünü Hepsiburada satıcısından aldı.RenkBej,5
16,6,Çok şık büyüklüğü ideal paketleme sağlam hasarsız geldiKullanıcı bu ürünü Hepsiburada satıcısından aldı.RenkBej,5
16,7,Beğendim gayet güzel.Kullanıcı bu ürünü Hepsiburada satıcısından aldı.RenkBej,5
16,8,Muazzam kaliteli bir ürün iyi ki almışım indirimdeyken 🥰❤️Kullanıcı bu ürünü Hepsiburada satıcısından aldı.RenkBej,5
16,9,Harika tabakla takım yaptımKullanıcı bu ürünü Hepsiburada satıcısından aldı.RenkBej,5
16,10,Henuz kullanmadım guzel gorunuyorKullanıcı bu ürünü Karaca satıcısından aldı.RenkBej,5
Page Number,Comment_ID,Comment_Text,Star_Count
17,1,Harika ürün pakylemede gayet guzelKullanıcı bu ürünü Hepsiburada satıcısından aldı.RenkBej,5
17,2,Harika tabakla takım yaptımKullanıcı bu ürünü Hepsiburada satıcısından aldı.RenkBej,5
17,3,Henuz kullanmadım guzel gorunuyorKullanıcı bu ürünü Karaca satıcısından aldı.RenkBej,5
17,4,Tahmin ettiğimden daha da güzel ve kaliteliKullanıcı bu ürünü Hepsiburada satıcısından aldı.RenkBej,5
17,5,Karaca kalitesiKullanıcı bu ürünü Hepsiburada satıcısından aldı.RenkBej,5
17,6,Beğendim gayet güzel.Kullanıcı bu ürünü Hepsiburada satıcısından aldı.RenkBej,5
17,7,Muazzam kaliteli bir ürün iyi ki almışım indirimdeyken 🥰❤️Kullanıcı bu ürünü Hepsiburada satıcısından aldı.RenkBej,5
17,8,Arkadaşıma hediye almıştım bayıldı bende bayıldım tabi çok güzel 🫠🫠Kullanıcı bu ürünü Hepsiburada satıcısından aldı.RenkBej,5
