Rate,Seller,Comment
5,Trendyol,Güvenilir hızlı teslimat
5,Teknosa,Tam olarak istediğim telefonn💋
5,CEPTELEFONU.ONLİNE,Pahalı deyil kalite son seri bir telefon
5,Aksaray İletişim,İlk defa internetten telefon aldım iyikide almışım çok güzel geldi teşekkür ederim sadece kargolara biraz daha tedbirli olabilirdi şuan kullandığım için fotoğraf paylaşamicam
5,MediaMarkt,Ürünü 17 Ekim 2023 tarihinde 36.299 tl ye satın aldım. Paketli bir şekilde kısa sürede elime hasarsız olarak ulaştı. Kullanmaya başladım şuan için bir sorun yaşamıyorum. Güvenilir satıcı diye tercih ettim.
5,Teknosa,Çok güzel beğendim
5,MAYTECH,Güvenle alabilirsiniz kardeşime hediye aldım çok beğendik🤍
5,HCM İLETİŞİM İNŞAAT SAN TİC VE A.Ş,Coç güzel paketlenmişti bir sıkıntısı da çıkmadı telefon mükemmel
5,Teknosa,güzel sorunsuz geldi
5,Teknosa,Mükemmelll
5,Teknosa,uygun fıyatlı hızlı kargo
5,Trendyol,Hak etti bence
5,Trendyol,SÜPER
5,Trendyol,Süper ötesiiiiiii
5,EMİNSA TEKNOLOJİ ÜRÜNLERİ LTD ŞTİ,indirimdeyken aldık hızlı ve sağlam gönderim
5,Troy Apple Yetkili Satıcı,"Her şey güzel , kargosundan ürüne kadar başarılı . Şarj kablosu var ."
5,E X E N,Yıldız ışığı kesinlikle tavsiye ederim hoş ve güzel duruyor
5,Erpa Holding,Hızlı ve güvenilir bir firma. Teşekkürler
5,Teknosa,guzel urun
5,BittiBitiyor,Saglam geldi
5,Trendyol,Sorunsuz geldi teşekkürler
5,Trendyol,Sorunsuz teslim
5,Trendyol,Hızlı ve sağlam geldi apple kalitesine diyecek yok zaten
4,Trendyol,Gayet iyi
5,Trendyol,iPhone işte normal güzel
5,Teknosa,Kaç aydır kullanıyorum apple zaten sorunsuz bir telefon 7 ay oldu daha yeni pil seviyesi %99 oldu tavsiye ederim
5,Kraft DTM,Sorunsuz geldi
5,Trendyol,iPhone kalitesi mükemmel
5,Teknosa,Iphone kalitesi anlatmaya gerek yok. :)
5,Nasa İletişim,iPhone kalitesi diyecek pek birşey yok.
5,Teknosa,Ne denilebilir ki ıphone kalitesi
5,Cepekspress,"Sorunsuz ve hizli teslimat, tesekkurler"
5,Troy Apple Yetkili Satıcı,Çok iyiydi beğendim
5,Nasa İletişim,Üründen çok memnun kaldık
5,Kraft DTM,Güzel bir ürün
5,Gürgençler Apple Yetkili Satıcı,Bir ıphone kullanıcısı olarak her zaman ıphone 13 muhteşem
5,Troy Apple Yetkili Satıcı,sorunsuz hızlı  teslimat
5,Trendyol,hızlı teslimat.
5,TekCep,Çokkk iiiyiiiii
5,Teknosa,Zamanında elimde oldu
5,teknolojiankara,hasarsız ve hızlı geldi teşekkürler
5,idefix,Mükemmell
5,Aksaray İletişim,harika bir ürün Herkese tavsiye ederim
5,Kraft DTM,parlayan yildiz gibi bu telefon
5,Teknosa,Hızlı ve güvenli bir şekilde ulaştı
5,Gürgençler Apple Yetkili Satıcı,Mükemmellll ❤️❤️
5,idefix,ıphone kalitesi tartışılmazzzz
5,CEPTELEFONU.ONLİNE,İphone kalitesi tartışılmaz ..
5,Aksaray İletişim,İnanılmaz hızlı bir kargo. Şahane bir telefon. Akasya iletişim çok iyi gönül rahatlığıyla alışveriş yapabilirsiniz.
5,TELEPARK,Çok iyi paketlenmişti tekepark satıcısına teşekkürler.Ürün zaten muhteşem kamerası hızı efsane
5,Trendyol,harika telefon ilk kez iphone aldım
5,TekCep,iphone için çok fazla yorum yapmaya gerek yok kargo çok hızlıydı 24 saat geçmeden telefonu teslim aldım teşekkürler
5,Trendyol,Mükemmel bir telefon
5,Kraft DTM,Güzel ürün
5,Nasa İletişim,Çok güzel beğendim
5,Nasa İletişim,çok güzel alınmalı
5,Teknosa,"Mükemmel bir telefon, iyi ki almışım"
5,Nasa İletişim,"mükemmel  , güvenilir site"
5,Teknosa,👍👍👍👍👍👍👍👍👍👍👍😁😁
5,Trendyol,tek kelime ile harika
5,Trendyol,Apple kalitesi ne denilirki
5,mobiloom,Ask telefon
5,Nasa İletişim,Çoook güzel
5,Aksaray İletişim,Mükemmel telefon
5,Cepekspress,Çok kaliteli çıktı teşekkür ederiz
5,ACTİVE GROUP,Bu firma güvenilir arkadaşlar ben memnun kaldım
5,CepteTek,çok iyi idi  beğendim
5,Trendyol,Yıllardır apple kullanıyorum en memnun kaldığım seri oldu
5,NN Global,Çok güzel orijinal
5,Trendyol,Ürünü eşim için aldım teslimat gayet hızlıydı ıphone kalitesi kendini gösteriyor
5,Teknosa,Hızlı kargo güvenilir satıcı
5,Gürgençler Apple Yetkili Satıcı,Ürün sorunsuz ve hızlıca elime geçti şu an canım telefonumdan yazıyorum🫣🤓
5,EMİNSA TEKNOLOJİ ÜRÜNLERİ LTD ŞTİ,🫶🏼🫶🏼🫶🏼🫶🏼🫶🏼🫶🏼🫶🏼🫶🏼🫶🏼🫶🏼🫶🏼🫶🏼🫶🏼
5,MediaMarkt,Ürün güzel  kullanıyorum sorunsuz ve hızlı elime ulaştı
5,mobiloom,Sorunsuz hızlı kargo
4,BittiBitiyor,ıdeal diyebiliriz
5,Trendyol,"kamerası, işlemcisi çok kaliteli."
5,Nasa İletişim,HARİKA SORUNSUZ TESLİMAT SORUNSUZ ÜRÜN
5,Nasa İletişim,Muazzam bir telefon iyiki almışım
5,Trendyol,Güzel fiyat performans ürünü
5,Trendyol,Süperrr bayıldım kargo güzeldi telefon sorunsuz
5,Trendyol,Çok güzel kullanımı
5,Çeska Teknoloji,Apple kalitesi
5,Teknosa,Memenun kaldık teşekkür ederiz
5,Teknosa,anlatmaya gerek yok telefonların en iyisi
5,Nasa İletişim,Çok güzel çok beğendim
5,TekCep,Teşekkürler
5,Teknosa,Gayet güzel ve güvenli çok memnun kaldım.
5,Trendyol,"Bir gün içinde elime ulaştı , sağlam geldi , hep istiyordum mutluyum şimdi 😌 rengi çok hoş"
5,Teknosa,Kargo süreci çok hızlı fşyat olarak çok indirimli aldım
5,Trendyol,Muhteşem tlf
5,idefix,Ertesi gün kargoya verildi ve sapasağlam elime ulaştı. Tavsiye ediyorum gönül rahatlığıyla alabilirsiniz. Satıcıyada ayrıca teşekkür ederim 😌
5,E X E N,Muhteşem. Tavsiye ederim
5,Gürgençler Apple Yetkili Satıcı,baya hızlı bir cihaz
5,Cepekspress,Gayet hızlı ve güvenilir
5,Troy Apple Yetkili Satıcı,Çok tedirgindim ama sorunsuz elime ulaştı mükemmell
5,Teknosa,Çok beğendim
5,Trendyol,3 aydır kullanıyorum çok memnunum
5,Trendyol,Çok kaliteli geldi
5,Trendyol,Ürün 10 numara 5 yıldız
5,Teknosa,MUHTEŞEMMM
5,Teknosa,"İyi ki almışım, kaç aydır kullanıyorum, çok memnunum."
5,Yirmidört,Mükemmel bi şey
5,ABK TEKNOLOJİ,harika....
5,Trendyol,Çok çabuk elime ulaştı. Emeği geçenlere teşekkür ederim
5,ATACEL,Hızlı teslimat paket süperdi
5,KimSatar,harika
5,BTSTEKNOLOJI,kalitesi tartısılmaz cok güzeö bi telefon
5,CepteTek,Harika ürün sorunsuz elime ulaştı teşekkürler
5,Aksaray İletişim,hızlı teslimat
5,teknolojiankara,Renk çok güzel hızlı kargo
5,CEPTELEFONU.ONLİNE,Çok güzel çok beğendim hızlı geldi 😍
5,Teknosa,Sorunsuz teslimat harika ürün
5,idefix,Özenli paketleme ve hızlı kargo için teşekkürler🫶
5,IŞIKCELL SANAL,Fiyatlar cok yükselmeden aldım harika telefon
5,Trendyol,Bayıldım çok güzel
5,Trendyol,"Apple kalitesi, Trendyol güvenilirliği der susarım 👏🏻👏🏻"
5,KimSatar,Harika telefon satıcı da çok iyi hiç düşünmeden alın derim
5,IŞIKCELL SANAL,Hızlı teslimat özenli ambalaj
5,Aksaray İletişim,Kargolama gayet sağlam ve hızlıydı
5,Koycebine,Ürün gayet iyi bu satıcıya güvenebilirsiniz
5,IŞIKCELL SANAL,Mükemmel hızlı teslimat
5,Cepekspress,güzel ürün tesekkürler
5,Nasa İletişim,o artık benim bebeğim borca girdiğime değdi mükemmel cekiyor
5,BTSTEKNOLOJI,3 kamera istemeyenler için başarılı seçim
3,Nasa İletişim,adaptör olsaydı daha iyi olurdu ürün güzel teşekkür ederim
5,IŞIKCELL SANAL,gayet iyi bir satıcı
5,Trendyol,iphone neticede
5,Yirmidört,Güvenilir satıcı çok tavsiye ederim
5,Yirmidört,Sorunsuz elime ulaştı
5,Trendyol,Erkek arkadaşıma aldık. Çok memnun zamlardan önce almamız iyi oldu. iPhone kalites diye bir gerçek var.
5,Cepekspress,kaliteli cihaz
4,Teknosa,"Ürün çok hızlı, ve ağır aslında. 12 miniden geçtim ilk farkettiğim son derece büyük olması . Ayrıca şarjı bitmiyor bu makinanın."
5,Teknosa,Ürünü sorunsuz bir şekilde teslim aldım. Memnun kaldım
5,Trendyol,Mükemmel hizmet
5,Trendyol,Ürünü alalı 1 hafta oldu. Trendyola öncelikle çok teşekkür ederim. Telefona gelecek olursak iphone kalitesi fazla söze gerek yok.
5,ALDIMGİTTİ,saglam ulaştı
5,Trendyol,kamerası efsane çekiyor iphone verilen fiyatı hak ediyor
5,EMİNSA TEKNOLOJİ ÜRÜNLERİ LTD ŞTİ,Emeği geçen herkese teşekkür ederim
5,Aksaray İletişim,Telefon harika söylenecek bir şey yok hiç tereddüt etmedim alırken çünkü iphone 2.alışım ve ilk aldığımdada trendyoldan almıştım yine memnun kaldım teşekkürlerr☺️
5,EGECEP,Harika cihaz
5,Trendyol,Hızlı kargo güzel
5,Trendyol,İnanılmaz bir hız. Sabah 10.30 da verdiğim sipariş 16.30 da bana ulaştı.
5,TekCep,hızlı kargo tesekkur ederiz.
4,BittiBitiyor,Ürün kaliteli herkese tesviye ederim. Ancak bu kadar para vermemize rağmen kutudan kulaklık ve şarj adaptörü nün çıkmaması üzücü bir olay
5,Odak iletişim,Çok hızlı geldi. İçinden ekran koruyucu ve şeffaf kılıf çıktı çok teşekkürler 🤗
5,Trendyol,Ürün güzel
5,Teknosa,Hızlı teslimat zaten ıphone kalitesi tartışılmaz
5,gazimobil,"eşime aldık biz çok beğendik, satıcı güvenilir. kargo hızlı ve düzgün geldi eşim memnun"
5,Nasa İletişim,Anlatmaya gerek yok güvenilir satıcı İPhone kalitesi
5,KimSatar,Sorunsuz teslimat. İyi fiyat 🏷
5,Trendyol,sorunsuz elime ulaştı
5,Trendyol,İndirimde almıştım gayet güzel memnun kaldım
5,teknolojiankara,Güzel beğendim
5,KimSatar,Sorunsuz geldi teşekkür ederiz
5,Gürgençler Apple Yetkili Satıcı,Büyüyünce pro max olacak
5,Nasa İletişim,Sorunsuz elime ulaştı.
5,KimSatar,Ambalaj gayet korunaklı hızlı teslimat Ürün zaten harika teşekkürler 🙏
5,Yirmidört,Hızlı ve güvenilir teslimat için teşekkür ediyorum.
5,Trendyol,Harika ötesi
4,CepteTek,"Fiyat olarak,malum..."
5,Troy Apple Yetkili Satıcı,👍 👍👍👍👍👍👍👍👍👍
5,Teknosa,sorunsuz geldi
4,Yirmidört,I phone ayrıcalığı satıcı ilgili memnun kaldım
5,BittiBitiyor,Harika sağlam geldi
5,Trendyol,Kız arkadaşıma hediye olarak aldım cok memnunuz güzel
5,Trendyol,Çok hızlı geldi çok beğendim cihazi teşekkürler ederim
5,Trendyol,harika sorunsuz geldi
5,Yirmidört,Ürün zamanında ve sorunsuz teslim edildi
5,Trendyol,Mükemmel yaa
5,Troy Apple Yetkili Satıcı,"Ne yazsam yetersiz, 5 yıl güzel bir biçimde sizi götürecek bir cihaz"
5,Nasa İletişim,🤩🤩maşallah diyeyim
5,ES VİSİON,Ürünü alalı epey oldu eşim 3 aydır kullaniyor ve çok memnun .
5,Teknosa,Ben kullanıyorum cihazı. Çok çok güzel
5,Netistasyon,çok memnunum güzel bir telefon 😊
5,Nasa İletişim,iPhone kalitesine yorum yapmaya gerek bile yok kamerası mükemmel gece çekimi için çok yorum yapamıyorum ama gündüz çekimi için bir harika tavsiye ederim
5,Trendyol,"Ağırlığı 13 Pro lara göre çok iyi, yıldız ışığı rengi bence çok güzel, kılıflarla da iyi duruyor"
5,Trendyol,tşkler
5,KimSatar,özellikle şu zamanda para kolay kazanılmıyor. Ama ürün cidden iyi bir yatırım ve hakkını veriyor teşekkürler.
5,Teknosa,Temiz ve sorunsuz
5,Koycebine,gönül rahatlığıyla alabilirsiniz
5,Trendyol,gayet güzel geldi sorunsuz teslim aldım
5,BittiBitiyor,Aşırrıı güvenilir❤️🫶🏻
5,Trendyol,"Sağlam geldi, sorunsuz kaliteli"
5,Trendyol,Güvenilir site rahatlıkla alabilir siniz çok memnun kalacaksınız
5,Teknosa,Apple anlatmaya gerek yok mükemmel
5,Trendyol,Hızlı ve sağlam teslimat
5,Nasa İletişim,İnce zarif kamerada süper
5,Teknosa,Çok güzel ürün
5,Trendyol,"Fiyat olarak her yerden ucuz. Trendyoldan aldım, gayet başarılı"
5,BittiBitiyor,super urun ..
5,TekCep,kesinlikle güvenli apple kalitesi çok hızlı teslimat
5,Trendyol,Sorunsuz geldi teşekkürler Trendyol🫶
5,Trendyol,Hızlı teslimat yapıldı elime çokçabuk ulaştı
5,Trendyol,Klasik iPhone
5,Nasa İletişim,"İşlemci, kamera, malzeme kalitesi, vs… Bir çok şey sayabilirsiniz. Fakat galiba bu cihazı en iyi açıklayan özellik “güven”. Hem sahip olduğu hem size verdiği. Mağazaya teşekkürler…"
5,FixDevice,Beğenerek kullanıyorum tavsiye ederim
5,Teknosa,Güzel telefon
4,Trendyol,Hasarsız güzel bir şekilde geldi gayet hızlıydı
5,Nasa İletişim,kaliteli fiyatı keşke biraz daha uygun olsa
5,Nasa İletişim,Hızlı kargo ve ve korunaklı sağlam geldi
5,Teknosa,telefon çok iyi Trendyol uygun fiyat ile aldık. teşekkürler Trendyol
5,Nasa İletişim,Herşey için teşekkürlerr
5,idefix,Çok güzeldi ımeı sorgulama yaptım orginall gönül rahatlığı ile alabilirsiniz
5,Teknosa,şahane ürün satıcı zaten süper
4,Aksaray İletişim,Telefonun kalitesine diyecek yok zaten ama gelmesi iki üç gün sürdü tavsiye ederim
5,Teknosa,Ürün sorunsuz elime ulaştı teşekkürler
5,Yirmidört,Çok güzel ve başarılı bir satıcı teşekkürler teşekkürler
5,FixDevice,Ürün çok kaliteli söylemeye gerek bile yok.
5,Teknosa,Çok memnun kaldım çok teşekkür ederim
5,Aksaray İletişim,Sorunsuz hızlı teslimat
5,Teknosa,çok keyifli
4,Nasa İletişim,Ürün Çok güzel sadece şarz kısmının az yanında iğne ucu kadar göcük var oda nazarı olsun tavsiye ederim
5,Trendyol,Hızlı teslimat
5,TekCep,Hızlı ve güvenli kargo fiyat olarakta piyasadan ucuz. 👏👏👏👏👍
4,Trendyol,Kaliteli görünüyor
5,Trendyol,İyi ki beyaz rengi tercih etmişim çok memnunum.
5,Trendyol,muhteşem bir ürün
5,Gürgençler Apple Yetkili Satıcı,Hızlı teslimat güzel kaliteli Apple
5,BittiBitiyor,Çok hızlı  geldi teşekkür ediyorum
5,Teknosa,Hızlı kargo için teknosaya teşekkür ederim.
5,Trendyol,Süper ürün kaliteli
5,Cepekspress,Yine yanılmadığımın tek adresi Trendyol teşekkürler 🙏
5,Trendyol,iPhone kalitesi her zamanki gibi
5,Kraft DTM,kargo hızlı telefon güzel satıcı başarılı gayet memnunum
5,Nasa İletişim,Hızlı ve güvenilir
5,CİN CİN ELEKTRONİK,"Özellikle ilginiz,alakanız için çok teşekkür ederim.Gozunuz kapalı güvenilirsiniz."
5,Trendyol,Ürün elime çok güzel bir şekilde ulaştı hiç tereddüt etmeden alabilirsiniz görseldekiyle birebir aynı ve çok güzel..
5,Ceptemax ,Korkarak aldım ama çok memnun kaldım teşekkür ediyorum :)
5,Nasa İletişim,Çok iyi bir alışveriş deneyimi yaşadım ürüne zaten söylenecek söz yok
5,Trendyol,Çok memnun kaldım
5,İDEAL MOBİL,Sorunsuz ulasti hizli teslimat
5,idefix,"Aşırı memnunum, tavsiye edilir"
5,Teknosa,Hızlı güzel paket sorunsuz
5,teknolojiankara,Orjinal ürün ve güzel paketlemişler kısa sürede de gönderdiler.
5,Troy Apple Yetkili Satıcı,Hizmet çok güzel bence ürün hızlı bişekilde bize ulaştı ve memnun kaldık
5,Trendyol,Tavsiye ederim
5,Teknosa,Hızlı teslimat
5,Trendyol,efsanesin on üç
5,teknolojiankara,"Kargo sorunsuz bi sekilde geldi , 2 gun icinde teslim ettiler"
5,Cepekspress,Parasını sonuna kadar haleden bir telefon
3,Nasa İletişim,Çok çok pahalı ama sonunda aldım yapacak birşey yok borç yiğidin kamçısı
5,MediaMarkt,Çok güzel 👍
5,Teknosa,iPhone kalitesi ve hızlı kargo internetten aldığım için biraz tedirgindim fakat müşteri hizmetleri çok yardımcı oldu
5,Trendyol,Kargo sorunsuz elime ulaştı kaliteli bir ürün
5,Ceptemax ,iPhone zaten anlatmaya kelimeler yetmez harikaaaa
5,Teknosa,ürün çok iyi beğendim
5,Teknosa,Trendyol farkıyla daha uyguna aldım teşekkürler Trendyol
5,mobiloom,Hızlı ve güvenli alışveriş
5,MediaMarkt,teşekkürler
5,CEPTELEFONU.ONLİNE,Mükemmel ürün zamanında geldi
5,Gürgençler Apple Yetkili Satıcı,Teşekkür ediyorum satıcı hızlıydı
5,Trendyol,Ekran boyutu çok iyi. A15 işlemci kesinlikle kendini belli ediyor . Bataryanın 3000lik olması biraz kafa karıştırıcı ama ilk gün aktif kullandığım halde %40 altına düşüremedim. Fiyatı yüksek olsada emsal cihazlara kıyasla fiyatını hak ediyor
5,Gürgençler Apple Yetkili Satıcı,Çok severek kullanıyorum
5,Nasa İletişim,Ürünü alırken internetten almak doğrumu diye düşündüm ama iyi ki almışım
5,Trendyol,En uygun fiyattı
5,Teknosa,10 numara 5 yıldız
5,Trendyol,Gerçekten On Numara Anlatmaya Gerek Yok İPhone Kalitesi Allah Herkese Nasip Etsin İnşallah.
5,Trendyol,Hızlı teslimat için teşekkürler
5,FixDevice,Sorunsuz elime ulaştı teşekkür ederim 🙏
5,Teknosa,Çok güzel iphone farkı
5,Erva Teknoloji,"Anlatmaya gerek yok, klasik Iphone kalitesi, bu paralara telefon almak saçma da olsa bir kere Iphone kullanınca bir daha başka bişeye geçemiyosunuz."
5,Trendyol,Hızlı ve güvenilir teslimat
5,Ümran Tİcaret ,Hızlı teslimat
5,HIZLIALTEKNOLOJI,Hızlı kargo ve güvenli
5,Trendyol,Kesinlikle tavsiye ederim fazla söze gerek yok zaten apple kalitesi
5,FixDevice,hızlı gönderim için teşekkürler
5,Trendyol,çokk güzel bir ürün sağlam geldi
5,erateknoloji,"sorunsuz elime ulaştı, çok teşekkürler"
5,BittiBitiyor,Üzümlü kekim güvenerek alabilirsiniz
5,MediaMarkt,Telefonum çok güzel bir şekilde elime ulastı
5,Trendyol,gayet güzel orninal
5,Teknosa,Fiyatı makul teşekür ederim
4,Cepekspress,fiyatı çok dalgalı ama ürün harika
5,Trendyol,Güzel ürün
5,Trendyol,Alınmaz moda geçti
5,Trendyol,Mükemmel bir telefon
5,Trendyol,Piyasaya gore uyguna aldik
5,ACTİVE GROUP,Fiyat uygun performans güzel
5,Trendyol,Harika bir ürün
5,ACTİVE GROUP,Anlatmaya gerek yok harika telefon
5,Trendyol,Sorun yaşamadım
5,EMİNSA TEKNOLOJİ ÜRÜNLERİ LTD ŞTİ,ürün mükkemmelllll
5,KimSatar,ne diyebilirim ki iyi ki varsın apple..
5,ES VİSİON,iphone farkı
5,Nasa İletişim,Iphone kalitesi… gönül rahatlığıyla alabilirsiniz
5,Teknosa,apple bu ne denilebilirki
5,FixDevice,Hızlı Kargo ve Güzel kargolama
5,KimSatar,Kamerası ve görüntüsü çok güzel
5,Troy Apple Yetkili Satıcı,Hızlı kargo
5,Trendyol,Hiç tereddüt etmeden ala bilirsiniz hızlı kargo
5,Nasa İletişim,Gelmesi biraz uzun sürdü ama güzel
5,Trendyol,Hızlı teslimat
5,Odak iletişim,Hızlı teslimat güzel kargo teşekkürler
5,CİN CİN ELEKTRONİK,"Çok güzel cihaz, hızlıca ulastı"
5,Trendyol,26.518 tl ye aldım kargoda dahil. Sipariş verdiğim akşam heyecandan uyuyamadım. İlk kez iphone telefonum oldu. Keşke bu kadar pahalı olmasa.
5,Trendyol,iphone kalitesi başka
5,Trendyol,Hızlı ve özenli kargo
5,Teknosa,"Apple markasının , en uyumlu partneri"
5,Teknosa,Apple kalitesi daha üzerine ne denilebilirki👌🏻
5,Trendyol,Eşime hediye olarak aldım.Çok beğendi❤️
4,mobiloom,Çok beğendim
4,Troy Apple Yetkili Satıcı,Güzel ürün tavsiye ederim
5,Trendyol,apple kalitesi
4,BittiBitiyor,Ürün gayet iyi
5,ElektronikFırsatı,Çok güzellll
5,Kale Telekom,Tereddüt etmiştim ama boşuna çok hızlı ve sorunsuz ulaştı.
4,Ceptemax ,Güvenilir alışveriş
5,BittiBitiyor,ÇOK TEŞEKKÜR EDERİM EMEĞİ GEÇEN HERKESE
5,Teknosa,Güzel telefon ve tartışmasız iPhone kamerası😍
5,BittiBitiyor,çok beğendimmmm
5,BittiBitiyor,Harikaaa ve çok kaliteli
5,ALDIMGİTTİ,2 günde sağlam geldi :)
5,Teknosa,Gayet güzel
