2,4,Atıl hoca doğru olanı yapıp Python dilini sadece ve sıkmayacak şekilde anlatmış. Zaten programlama dilinin temel yazılım metodolojisine nasıl yaklaştığı genel olarak anlaşıldıktan sonra proje odaklı gidip hayal gücüne bağlı olarak yavaş yavaş o programlama dilinde uzmanlaşma yoluna gidiliyor. Bu kitabın ise Python dilinin temel metodolojisini yeterince yansıttığını düşünüyorum.Kullanıcı bu ürünü Unikod satıcısından aldı.,5
2,5,"Anlatımı çok hoş, yeni başlayacak arkadaşlar için gayet kullanışlı bir kitapKullanıcı bu ürünü Unikod satıcısından aldı.",5
2,6,videoları eksikKullanıcı bu ürünü hesapkitap satıcısından aldı.,2
2,7,Çok güzel bir kitap zaten atıl hocanın yaptıgı hangi şey kötü olmuş ki buda olsun .10 numaraKullanıcı bu ürünü Unikod satıcısından aldı.,5
2,8,Paketleme güzeldi kitap deforme olmamiştı ve kargo hızlıydi 👌🏻Kullanıcı bu ürünü Unikod satıcısından aldı.,5
2,9,Giriş ve orta segment için mükemmelKullanıcı bu ürünü Unikod satıcısından aldı.,5
2,10,Güzel kitap teşekkürler hepsiburadaKullanıcı bu ürünü Unikod satıcısından aldı.,5
Page Number,Comment_ID,Comment_Text,Star_Count
3,1,"Kargo zamanı, paketlenmesi harika. Hani kitabın üzerine top atsanız birşey olmayacak şekilde itinayla paketlenmiş ve içerik olarak çok güzel, en basit konulardan başlayıp siber güvenlikte python kullanımına kadar ilerliyor.Kullanıcı bu ürünü Unikod satıcısından aldı.",5
3,2,Kotlin eğitimini severek dinlediğim Atıl Hocanın kitabını almamak olmazdı. Anlaşılır bir dili var.Kullanıcı bu ürünü Unikod satıcısından aldı.,5
3,3,Oldukça detaylı yazılmış ve gerçekten öğretme çıtasını olabildiğince yükseğe çıkartan bir çalışma olmuş. Atıl hocama teşekkür ediyorum.Kullanıcı bu ürünü Unikod satıcısından aldı.,5
3,4,KaliteliKullanıcı bu ürünü Unikod satıcısından aldı.,5
3,5,Python yeniden başlıyacaklar için tavsiye edeceğim bir kitapKullanıcı bu ürünü Unikod satıcısından aldı.,5
3,6,"harika, sipariş verdikten sonra 24 saat bile sürmedi elime geçmesi.

içeirği için bir şey diyemeyeceğim kendim daha okumadım ama çok övülen bir yazar ve kitap.Kullanıcı bu ürünü Unikod satıcısından aldı.",5
3,7,"Atıl Samancıoğlu kalitesiyle gayet beğendim. Ek kaynak olarak aldım, elle tutulabilir olması için.Kullanıcı bu ürünü Unikod satıcısından aldı.",5
3,8,Henüz kitabın başlarındayım ama şuana kadar gördüğüm en detaylı ve kaliteli kitap olduğunu düşünüyorum. Atıl Samancıoğlu farkı :)Kullanıcı bu ürünü Unikod satıcısından aldı.,5
3,9,Udemy den de takip ettiğim bir hoca. kitabı aldım şuan ki işlerimden dolayı inceleme fırsatı bulamadım.Kitap satıcısı unikod teşekkür ederim.Paketleme ve hediye içinKullanıcı bu ürünü Unikod satıcısından aldı.,5
3,10,Çok iyi paketlenip gönderildi ve kitabın içeriğide gayet bolKullanıcı bu ürünü Unikod satıcısından aldı.,5
Page Number,Comment_ID,Comment_Text,Star_Count
4,1,Çok Faydalı ve UcuzKullanıcı bu ürünü Unikod satıcısından aldı.,5
4,2,"Hızlı kargo, sağlam paketleme, kaliteli baskı,
kitap içeriğinden bir şifre geliyor internet sayfasına onunla kayıt olursanız Python ile ilgili videolara ulaşabiliyorsunuz.
Kitap içeriği güzel ve anlatımı basit, 2 günde 30 sayfa bitirdim.Kullanıcı bu ürünü Unikod satıcısından aldı.",5
4,3,Ürün gayet güzel içerik olarak çok zengin Atıl hoca gerçekden de çok iyi bir kitap yazmış paketleme harikaydı kitap da herhangi bir sorun yokdu ve kargo baya hızlı geldiKullanıcı bu ürünü Unikod satıcısından aldı.,5
4,4,Paketleme gerçekten çok güzeldi. Hediyeniz için de teşekkür ederim. Kitaba gelirsek hiçbir şey bilmiyorum yeni başladım şu anlık anlatım açıklayıcı ve güzel bilgilerle devam ediyor.Kullanıcı bu ürünü Unikod satıcısından aldı.,5
4,5,Yazarın emeğine sağlık içerik çok güzel ama beyaz kağıt yerine saman kağıdına basılsa daha güzel olurdu. Kitap değil fotokopi hissi veriyor bu şekilde. Umarım ikinci baskıya düzelir.Kullanıcı bu ürünü Unikod satıcısından aldı.,4
4,6,Unikoddaki ücretsiz eğitim videolarına ulaşmak için gereken aktivasyon kodu yok. Kutu boş bırakılmış. 14 gün içerisinde fark edemediğim için de talep açamıyorum.Kullanıcı bu ürünü Unikod satıcısından aldı.,1
4,7,Atıl Samancıoğlu... Adı bile yeter. Harika görünüyor. Bitirmek ne zamana nasip olacak bakalım.Kullanıcı bu ürünü Unikod satıcısından aldı.,5
4,8,Ürün paketlemesi çok sağlam yapılmıştı ve ertesi gün bana ulaştı teşekkürler unikod 😊Kullanıcı bu ürünü Unikod satıcısından aldı.,5
4,9,Kitap harika.Icerikten supheliydim ama gayet iyi anlatilmis.Sorunsuz guzel hizli geldi.Kullanıcı bu ürünü Hepsiburada satıcısından aldı.,5
4,10,"Yazar çok farklı konulara değinmiş. 70.sayfalardayım anlatım güzel ve yalın, sizle konuşuyor gibi. Kitabın kullanıcıyı çok ileriye taşıyacağını düşünmüyorum , dil ile alakalı en azından başlangıç seviyesine gelmiş olursunuz. yoğun bilgi ağırlıklı olduğunu düşünmüyorum.Kullanıcı bu ürünü Unikod satıcısından aldı.",4
Page Number,Comment_ID,Comment_Text,Star_Count
5,1,küçük hatalar var ama diğer çıkıcak baskılarda düzeltilir büyük ihtimal. anlatım dilini beğendim.Kullanıcı bu ürünü Hepsiburada satıcısından aldı.,4
5,2,HarikaKullanıcı bu ürünü Hepsiburada satıcısından aldı.,5
5,3,Ürün içeriği çok kaliteli kesinlikle tavsiye ederimKullanıcı bu ürünü Unikod satıcısından aldı.,5
5,4,Başlangıç düzeyi için alınabilirKullanıcı bu ürünü Unikod satıcısından aldı.,3
5,5,Para israfı sadeceKullanıcı bu ürünü Hepsiburada satıcısından aldı.,1
5,6,Güzel bir kitap. Sadece resimler küçük ve bazıları anlaşılmıyor. Onun dışında iyiKullanıcı bu ürünü Hepsiburada satıcısından aldı.,4
5,7,Çok iyi hazırlanmış...Kullanıcı bu ürünü Unikod satıcısından aldı.,5
5,8,bir kaç yanlış bilgi var onun dışında ortalama bir kitapKullanıcı bu ürünü Unikod satıcısından aldı.,3
5,9,Tam istediğim gibiKullanıcı bu ürünü Unikod satıcısından aldı.,4
5,10,Piyasadaki en iyi Python eğitim kitabıKullanıcı bu ürünü Unikod satıcısından aldı.,5
Page Number,Comment_ID,Comment_Text,Star_Count
6,1,Kargolara sureci yavaştı ama kitap hasarsız elime ulaştı teşekkürlerKullanıcı bu ürünü Hepsiburada satıcısından aldı.,3
Page Number,Comment_ID,Comment_Text,Star_Count
Page Number,Comment_ID,Comment_Text,Star_Count
Page Number,Comment_ID,Comment_Text,Star_Count
Page Number,Comment_ID,Comment_Text,Star_Count
Page Number,Comment_ID,Comment_Text,Star_Count
Page Number,Comment_ID,Comment_Text,Star_Count
Page Number,Comment_ID,Comment_Text,Star_Count
Page Number,Comment_ID,Comment_Text,Star_Count
Page Number,Comment_ID,Comment_Text,Star_Count
Page Number,Comment_ID,Comment_Text,Star_Count
Page Number,Comment_ID,Comment_Text,Star_Count
Page Number,Comment_ID,Comment_Text,Star_Count
Page Number,Comment_ID,Comment_Text,Star_Count
Page Number,Comment_ID,Comment_Text,Star_Count
Page Number,Comment_ID,Comment_Text,Star_Count
Page Number,Comment_ID,Comment_Text,Star_Count
1,1,Öncelikle kitabı çok beğendim. Çok işime yarayacak kitaplığımda durması çünkü bir dersi eğer unutursam tekrardan İnternet üzerinden dinlemek zorluk olacaktı ama şu an o ders bir tık uzağımda kitaplığımda. İçinden aktivasyon kodu çıktı ve videolar da bilgilendirici. Fiyatı da uygun yani tavsiye ederim.Kullanıcı bu ürünü Unikod satıcısından aldı.,5
1,2,Gayet iyi. Sayfalar siyah beyaz ama benim için fark etmiyor. Öğrenmek için idealKullanıcı bu ürünü hesapkitap satıcısından aldı.,5
1,3,36 saatte elime geçen bu kitap kaliteli ve Python öğrenmek için güzel. İlgilenenlere tavsiye ediyorum.Kullanıcı bu ürünü Unikod satıcısından aldı.,5
1,4,Atıl Hoca yazdıysa birşey demeye gerek yok Perfect…Kullanıcı bu ürünü Unikod satıcısından aldı.,5
1,5,"akıcı anlatım, görseller ile destekli, bilale anlatır gibi :))Kullanıcı bu ürünü Unikod satıcısından aldı.",5
1,6,Ürün gayet güzel içinden gereken kodda çıkıyor benim beklentilerimi karşıladıKullanıcı bu ürünü Unikod satıcısından aldı.,5
1,7,"Kitapda, hizmetde super.tesekkurlerKullanıcı bu ürünü hesapkitap satıcısından aldı.",5
1,8,Bitirmedim ama ayrıntılı anlatımı varKullanıcı bu ürünü Unikod satıcısından aldı.,5
1,9,Ürün hızlı geldi beğendim kaliteli kitapKullanıcı bu ürünü hesapkitap satıcısından aldı.,4
1,10,TeşekkürlerKullanıcı bu ürünü hesapkitap satıcısından aldı.,5
Page Number,Comment_ID,Comment_Text,Star_Count
2,1,"Online ders almama rağmen orda atladıkları bir sürü bilgi olduğunu fark ettim, en azından yardımcı kaynak olarak kesinlikle tavsiye ediyorum.Kullanıcı bu ürünü Unikod satıcısından aldı.",5
2,2,"Kitap içeriği ve Atıl hocanın anlatış biçimini çok sevdim. Kitapta python dilinin temellerinden başlayarak siber güvenlik, web tasarım gibi konuları ele alınıyor. Eğer python için bir kitap arıyor ve başlangıç seviyesi olsun diyorsanız daha fazla beklemenize gerek yok.Kullanıcı bu ürünü Unikod satıcısından aldı.",5
2,3,Sıfırdan başlayacak bir kişi için iyiKullanıcı bu ürünü Unikod satıcısından aldı.,5
2,4,Atıl hoca doğru olanı yapıp Python dilini sadece ve sıkmayacak şekilde anlatmış. Zaten programlama dilinin temel yazılım metodolojisine nasıl yaklaştığı genel olarak anlaşıldıktan sonra proje odaklı gidip hayal gücüne bağlı olarak yavaş yavaş o programlama dilinde uzmanlaşma yoluna gidiliyor. Bu kitabın ise Python dilinin temel metodolojisini yeterince yansıttığını düşünüyorum.Kullanıcı bu ürünü Unikod satıcısından aldı.,5
2,5,"Anlatımı çok hoş, yeni başlayacak arkadaşlar için gayet kullanışlı bir kitapKullanıcı bu ürünü Unikod satıcısından aldı.",5
2,6,videoları eksikKullanıcı bu ürünü hesapkitap satıcısından aldı.,2
2,7,Çok güzel bir kitap zaten atıl hocanın yaptıgı hangi şey kötü olmuş ki buda olsun .10 numaraKullanıcı bu ürünü Unikod satıcısından aldı.,5
2,8,Paketleme güzeldi kitap deforme olmamiştı ve kargo hızlıydi 👌🏻Kullanıcı bu ürünü Unikod satıcısından aldı.,5
2,9,Giriş ve orta segment için mükemmelKullanıcı bu ürünü Unikod satıcısından aldı.,5
2,10,Güzel kitap teşekkürler hepsiburadaKullanıcı bu ürünü Unikod satıcısından aldı.,5
Page Number,Comment_ID,Comment_Text,Star_Count
3,1,"Kargo zamanı, paketlenmesi harika. Hani kitabın üzerine top atsanız birşey olmayacak şekilde itinayla paketlenmiş ve içerik olarak çok güzel, en basit konulardan başlayıp siber güvenlikte python kullanımına kadar ilerliyor.Kullanıcı bu ürünü Unikod satıcısından aldı.",5
3,2,Kotlin eğitimini severek dinlediğim Atıl Hocanın kitabını almamak olmazdı. Anlaşılır bir dili var.Kullanıcı bu ürünü Unikod satıcısından aldı.,5
3,3,Oldukça detaylı yazılmış ve gerçekten öğretme çıtasını olabildiğince yükseğe çıkartan bir çalışma olmuş. Atıl hocama teşekkür ediyorum.Kullanıcı bu ürünü Unikod satıcısından aldı.,5
3,4,KaliteliKullanıcı bu ürünü Unikod satıcısından aldı.,5
3,5,Python yeniden başlıyacaklar için tavsiye edeceğim bir kitapKullanıcı bu ürünü Unikod satıcısından aldı.,5
3,6,"harika, sipariş verdikten sonra 24 saat bile sürmedi elime geçmesi.

içeirği için bir şey diyemeyeceğim kendim daha okumadım ama çok övülen bir yazar ve kitap.Kullanıcı bu ürünü Unikod satıcısından aldı.",5
3,7,"Atıl Samancıoğlu kalitesiyle gayet beğendim. Ek kaynak olarak aldım, elle tutulabilir olması için.Kullanıcı bu ürünü Unikod satıcısından aldı.",5
3,8,Henüz kitabın başlarındayım ama şuana kadar gördüğüm en detaylı ve kaliteli kitap olduğunu düşünüyorum. Atıl Samancıoğlu farkı :)Kullanıcı bu ürünü Unikod satıcısından aldı.,5
3,9,Udemy den de takip ettiğim bir hoca. kitabı aldım şuan ki işlerimden dolayı inceleme fırsatı bulamadım.Kitap satıcısı unikod teşekkür ederim.Paketleme ve hediye içinKullanıcı bu ürünü Unikod satıcısından aldı.,5
3,10,Çok iyi paketlenip gönderildi ve kitabın içeriğide gayet bolKullanıcı bu ürünü Unikod satıcısından aldı.,5
Page Number,Comment_ID,Comment_Text,Star_Count
4,1,Çok Faydalı ve UcuzKullanıcı bu ürünü Unikod satıcısından aldı.,5
4,2,"Hızlı kargo, sağlam paketleme, kaliteli baskı,
kitap içeriğinden bir şifre geliyor internet sayfasına onunla kayıt olursanız Python ile ilgili videolara ulaşabiliyorsunuz.
Kitap içeriği güzel ve anlatımı basit, 2 günde 30 sayfa bitirdim.Kullanıcı bu ürünü Unikod satıcısından aldı.",5
4,3,Ürün gayet güzel içerik olarak çok zengin Atıl hoca gerçekden de çok iyi bir kitap yazmış paketleme harikaydı kitap da herhangi bir sorun yokdu ve kargo baya hızlı geldiKullanıcı bu ürünü Unikod satıcısından aldı.,5
4,4,Paketleme gerçekten çok güzeldi. Hediyeniz için de teşekkür ederim. Kitaba gelirsek hiçbir şey bilmiyorum yeni başladım şu anlık anlatım açıklayıcı ve güzel bilgilerle devam ediyor.Kullanıcı bu ürünü Unikod satıcısından aldı.,5
4,5,Yazarın emeğine sağlık içerik çok güzel ama beyaz kağıt yerine saman kağıdına basılsa daha güzel olurdu. Kitap değil fotokopi hissi veriyor bu şekilde. Umarım ikinci baskıya düzelir.Kullanıcı bu ürünü Unikod satıcısından aldı.,4
4,6,Unikoddaki ücretsiz eğitim videolarına ulaşmak için gereken aktivasyon kodu yok. Kutu boş bırakılmış. 14 gün içerisinde fark edemediğim için de talep açamıyorum.Kullanıcı bu ürünü Unikod satıcısından aldı.,1
4,7,Atıl Samancıoğlu... Adı bile yeter. Harika görünüyor. Bitirmek ne zamana nasip olacak bakalım.Kullanıcı bu ürünü Unikod satıcısından aldı.,5
4,8,Ürün paketlemesi çok sağlam yapılmıştı ve ertesi gün bana ulaştı teşekkürler unikod 😊Kullanıcı bu ürünü Unikod satıcısından aldı.,5
4,9,Kitap harika.Icerikten supheliydim ama gayet iyi anlatilmis.Sorunsuz guzel hizli geldi.Kullanıcı bu ürünü Hepsiburada satıcısından aldı.,5
4,10,"Yazar çok farklı konulara değinmiş. 70.sayfalardayım anlatım güzel ve yalın, sizle konuşuyor gibi. Kitabın kullanıcıyı çok ileriye taşıyacağını düşünmüyorum , dil ile alakalı en azından başlangıç seviyesine gelmiş olursunuz. yoğun bilgi ağırlıklı olduğunu düşünmüyorum.Kullanıcı bu ürünü Unikod satıcısından aldı.",4
Page Number,Comment_ID,Comment_Text,Star_Count
5,1,küçük hatalar var ama diğer çıkıcak baskılarda düzeltilir büyük ihtimal. anlatım dilini beğendim.Kullanıcı bu ürünü Hepsiburada satıcısından aldı.,4
5,2,HarikaKullanıcı bu ürünü Hepsiburada satıcısından aldı.,5
5,3,Ürün içeriği çok kaliteli kesinlikle tavsiye ederimKullanıcı bu ürünü Unikod satıcısından aldı.,5
5,4,Para israfı sadeceKullanıcı bu ürünü Hepsiburada satıcısından aldı.,1
5,5,Başlangıç düzeyi için alınabilirKullanıcı bu ürünü Unikod satıcısından aldı.,3
5,6,Güzel bir kitap. Sadece resimler küçük ve bazıları anlaşılmıyor. Onun dışında iyiKullanıcı bu ürünü Hepsiburada satıcısından aldı.,4
5,7,Çok iyi hazırlanmış...Kullanıcı bu ürünü Unikod satıcısından aldı.,5
5,8,bir kaç yanlış bilgi var onun dışında ortalama bir kitapKullanıcı bu ürünü Unikod satıcısından aldı.,3
5,9,Tam istediğim gibiKullanıcı bu ürünü Unikod satıcısından aldı.,4
5,10,Piyasadaki en iyi Python eğitim kitabıKullanıcı bu ürünü Unikod satıcısından aldı.,5
Page Number,Comment_ID,Comment_Text,Star_Count
6,1,Kargolara sureci yavaştı ama kitap hasarsız elime ulaştı teşekkürlerKullanıcı bu ürünü Hepsiburada satıcısından aldı.,3
Page Number,Comment_ID,Comment_Text,Star_Count
Page Number,Comment_ID,Comment_Text,Star_Count
Page Number,Comment_ID,Comment_Text,Star_Count
Page Number,Comment_ID,Comment_Text,Star_Count
Page Number,Comment_ID,Comment_Text,Star_Count
Page Number,Comment_ID,Comment_Text,Star_Count
1,1,Öncelikle kitabı çok beğendim. Çok işime yarayacak kitaplığımda durması çünkü bir dersi eğer unutursam tekrardan İnternet üzerinden dinlemek zorluk olacaktı ama şu an o ders bir tık uzağımda kitaplığımda. İçinden aktivasyon kodu çıktı ve videolar da bilgilendirici. Fiyatı da uygun yani tavsiye ederim.Kullanıcı bu ürünü Unikod satıcısından aldı.,5
1,2,Gayet iyi. Sayfalar siyah beyaz ama benim için fark etmiyor. Öğrenmek için idealKullanıcı bu ürünü hesapkitap satıcısından aldı.,5
1,3,36 saatte elime geçen bu kitap kaliteli ve Python öğrenmek için güzel. İlgilenenlere tavsiye ediyorum.Kullanıcı bu ürünü Unikod satıcısından aldı.,5
1,4,Atıl Hoca yazdıysa birşey demeye gerek yok Perfect…Kullanıcı bu ürünü Unikod satıcısından aldı.,5
1,5,"akıcı anlatım, görseller ile destekli, bilale anlatır gibi :))Kullanıcı bu ürünü Unikod satıcısından aldı.",5
1,6,Ürün gayet güzel içinden gereken kodda çıkıyor benim beklentilerimi karşıladıKullanıcı bu ürünü Unikod satıcısından aldı.,5
1,7,"Kitapda, hizmetde super.tesekkurlerKullanıcı bu ürünü hesapkitap satıcısından aldı.",5
1,8,Bitirmedim ama ayrıntılı anlatımı varKullanıcı bu ürünü Unikod satıcısından aldı.,5
1,9,Ürün hızlı geldi beğendim kaliteli kitapKullanıcı bu ürünü hesapkitap satıcısından aldı.,4
1,10,TeşekkürlerKullanıcı bu ürünü hesapkitap satıcısından aldı.,5
Page Number,Comment_ID,Comment_Text,Star_Count
2,1,"Online ders almama rağmen orda atladıkları bir sürü bilgi olduğunu fark ettim, en azından yardımcı kaynak olarak kesinlikle tavsiye ediyorum.Kullanıcı bu ürünü Unikod satıcısından aldı.",5
2,2,"Kitap içeriği ve Atıl hocanın anlatış biçimini çok sevdim. Kitapta python dilinin temellerinden başlayarak siber güvenlik, web tasarım gibi konuları ele alınıyor. Eğer python için bir kitap arıyor ve başlangıç seviyesi olsun diyorsanız daha fazla beklemenize gerek yok.Kullanıcı bu ürünü Unikod satıcısından aldı.",5
2,3,Sıfırdan başlayacak bir kişi için iyiKullanıcı bu ürünü Unikod satıcısından aldı.,5
2,4,Atıl hoca doğru olanı yapıp Python dilini sadece ve sıkmayacak şekilde anlatmış. Zaten programlama dilinin temel yazılım metodolojisine nasıl yaklaştığı genel olarak anlaşıldıktan sonra proje odaklı gidip hayal gücüne bağlı olarak yavaş yavaş o programlama dilinde uzmanlaşma yoluna gidiliyor. Bu kitabın ise Python dilinin temel metodolojisini yeterince yansıttığını düşünüyorum.Kullanıcı bu ürünü Unikod satıcısından aldı.,5
2,5,"Anlatımı çok hoş, yeni başlayacak arkadaşlar için gayet kullanışlı bir kitapKullanıcı bu ürünü Unikod satıcısından aldı.",5
2,6,videoları eksikKullanıcı bu ürünü hesapkitap satıcısından aldı.,2
2,7,Çok güzel bir kitap zaten atıl hocanın yaptıgı hangi şey kötü olmuş ki buda olsun .10 numaraKullanıcı bu ürünü Unikod satıcısından aldı.,5
2,8,Paketleme güzeldi kitap deforme olmamiştı ve kargo hızlıydi 👌🏻Kullanıcı bu ürünü Unikod satıcısından aldı.,5
2,9,Giriş ve orta segment için mükemmelKullanıcı bu ürünü Unikod satıcısından aldı.,5
2,10,Güzel kitap teşekkürler hepsiburadaKullanıcı bu ürünü Unikod satıcısından aldı.,5
Page Number,Comment_ID,Comment_Text,Star_Count
3,1,"Kargo zamanı, paketlenmesi harika. Hani kitabın üzerine top atsanız birşey olmayacak şekilde itinayla paketlenmiş ve içerik olarak çok güzel, en basit konulardan başlayıp siber güvenlikte python kullanımına kadar ilerliyor.Kullanıcı bu ürünü Unikod satıcısından aldı.",5
3,2,Kotlin eğitimini severek dinlediğim Atıl Hocanın kitabını almamak olmazdı. Anlaşılır bir dili var.Kullanıcı bu ürünü Unikod satıcısından aldı.,5
3,3,Oldukça detaylı yazılmış ve gerçekten öğretme çıtasını olabildiğince yükseğe çıkartan bir çalışma olmuş. Atıl hocama teşekkür ediyorum.Kullanıcı bu ürünü Unikod satıcısından aldı.,5
3,4,KaliteliKullanıcı bu ürünü Unikod satıcısından aldı.,5
3,5,Python yeniden başlıyacaklar için tavsiye edeceğim bir kitapKullanıcı bu ürünü Unikod satıcısından aldı.,5
3,6,"harika, sipariş verdikten sonra 24 saat bile sürmedi elime geçmesi.

içeirği için bir şey diyemeyeceğim kendim daha okumadım ama çok övülen bir yazar ve kitap.Kullanıcı bu ürünü Unikod satıcısından aldı.",5
3,7,"Atıl Samancıoğlu kalitesiyle gayet beğendim. Ek kaynak olarak aldım, elle tutulabilir olması için.Kullanıcı bu ürünü Unikod satıcısından aldı.",5
3,8,Henüz kitabın başlarındayım ama şuana kadar gördüğüm en detaylı ve kaliteli kitap olduğunu düşünüyorum. Atıl Samancıoğlu farkı :)Kullanıcı bu ürünü Unikod satıcısından aldı.,5
3,9,Udemy den de takip ettiğim bir hoca. kitabı aldım şuan ki işlerimden dolayı inceleme fırsatı bulamadım.Kitap satıcısı unikod teşekkür ederim.Paketleme ve hediye içinKullanıcı bu ürünü Unikod satıcısından aldı.,5
3,10,Çok iyi paketlenip gönderildi ve kitabın içeriğide gayet bolKullanıcı bu ürünü Unikod satıcısından aldı.,5
Page Number,Comment_ID,Comment_Text,Star_Count
4,1,Çok Faydalı ve UcuzKullanıcı bu ürünü Unikod satıcısından aldı.,5
4,2,"Hızlı kargo, sağlam paketleme, kaliteli baskı,
kitap içeriğinden bir şifre geliyor internet sayfasına onunla kayıt olursanız Python ile ilgili videolara ulaşabiliyorsunuz.
Kitap içeriği güzel ve anlatımı basit, 2 günde 30 sayfa bitirdim.Kullanıcı bu ürünü Unikod satıcısından aldı.",5
4,3,Ürün gayet güzel içerik olarak çok zengin Atıl hoca gerçekden de çok iyi bir kitap yazmış paketleme harikaydı kitap da herhangi bir sorun yokdu ve kargo baya hızlı geldiKullanıcı bu ürünü Unikod satıcısından aldı.,5
4,4,Paketleme gerçekten çok güzeldi. Hediyeniz için de teşekkür ederim. Kitaba gelirsek hiçbir şey bilmiyorum yeni başladım şu anlık anlatım açıklayıcı ve güzel bilgilerle devam ediyor.Kullanıcı bu ürünü Unikod satıcısından aldı.,5
4,5,Yazarın emeğine sağlık içerik çok güzel ama beyaz kağıt yerine saman kağıdına basılsa daha güzel olurdu. Kitap değil fotokopi hissi veriyor bu şekilde. Umarım ikinci baskıya düzelir.Kullanıcı bu ürünü Unikod satıcısından aldı.,4
4,6,Unikoddaki ücretsiz eğitim videolarına ulaşmak için gereken aktivasyon kodu yok. Kutu boş bırakılmış. 14 gün içerisinde fark edemediğim için de talep açamıyorum.Kullanıcı bu ürünü Unikod satıcısından aldı.,1
4,7,Atıl Samancıoğlu... Adı bile yeter. Harika görünüyor. Bitirmek ne zamana nasip olacak bakalım.Kullanıcı bu ürünü Unikod satıcısından aldı.,5
4,8,Ürün paketlemesi çok sağlam yapılmıştı ve ertesi gün bana ulaştı teşekkürler unikod 😊Kullanıcı bu ürünü Unikod satıcısından aldı.,5
4,9,Kitap harika.Icerikten supheliydim ama gayet iyi anlatilmis.Sorunsuz guzel hizli geldi.Kullanıcı bu ürünü Hepsiburada satıcısından aldı.,5
4,10,"Yazar çok farklı konulara değinmiş. 70.sayfalardayım anlatım güzel ve yalın, sizle konuşuyor gibi. Kitabın kullanıcıyı çok ileriye taşıyacağını düşünmüyorum , dil ile alakalı en azından başlangıç seviyesine gelmiş olursunuz. yoğun bilgi ağırlıklı olduğunu düşünmüyorum.Kullanıcı bu ürünü Unikod satıcısından aldı.",4
Page Number,Comment_ID,Comment_Text,Star_Count
5,1,küçük hatalar var ama diğer çıkıcak baskılarda düzeltilir büyük ihtimal. anlatım dilini beğendim.Kullanıcı bu ürünü Hepsiburada satıcısından aldı.,4
5,2,HarikaKullanıcı bu ürünü Hepsiburada satıcısından aldı.,5
5,3,Ürün içeriği çok kaliteli kesinlikle tavsiye ederimKullanıcı bu ürünü Unikod satıcısından aldı.,5
5,4,Para israfı sadeceKullanıcı bu ürünü Hepsiburada satıcısından aldı.,1
5,5,Başlangıç düzeyi için alınabilirKullanıcı bu ürünü Unikod satıcısından aldı.,3
5,6,Güzel bir kitap. Sadece resimler küçük ve bazıları anlaşılmıyor. Onun dışında iyiKullanıcı bu ürünü Hepsiburada satıcısından aldı.,4
5,7,Çok iyi hazırlanmış...Kullanıcı bu ürünü Unikod satıcısından aldı.,5
5,8,bir kaç yanlış bilgi var onun dışında ortalama bir kitapKullanıcı bu ürünü Unikod satıcısından aldı.,3
5,9,Tam istediğim gibiKullanıcı bu ürünü Unikod satıcısından aldı.,4
